raw,agg1,agg2,agg3
battery_li,battery,battery,storage
beccs,beccs,beccs,biopower
biopower,biopower,biopower,biopower
can-imports,can-imports,other,other
coal-ccs,coal-ccs,coal-ccs,coal
coal-igcc,coal,coal,coal
coal-igcc_coal-ccs,coal-ccs,coal-ccs,coal      
coal-new,coal,coal,coal
coal-new_coal-ccs,coal-ccs,coal-ccs,coal
coaloldscr,coal,coal,coal
coaloldscr_coal-ccs,coal-ccs,coal-ccs,coal
coalolduns,coal,coal,coal
coalolduns_coal-ccs,coal-ccs,coal-ccs,coal
csp,csp,csp,solar
csp-ns,csp,csp,solar
distpv,distpv,distpv,solar
egs_allkm,geothermal,geothermal,geothermal
egs_nearfield,geothermal,geothermal,geothermal
electrolyzer,electrolyzer,h2-prod,h2-prod
gas-cc,gas-cc,gas-cc,natural gas
gas-cc_gas-cc-ccs,gas-cc-ccs,gas-cc-ccs,natural gas
gas-cc_h2-cc,h2-cc,h2-cc,other
gas-cc-ccs,gas-cc-ccs,gas-cc-ccs,natural gas
gas-ct,gas-ct,gas-ct,natural gas
gas-ct_aero,gas-ct,gas-ct,natural gas
gas-ct_h2-ct,h2-ct,h2-ct,other
geohydro_allkm,geothermal,geothermal,geothermal
h2-cc,h2-cc,h2-cc,other
h2-ct,h2-ct,h2-ct,other
hyded,hydro,hydro,hydro
hydend,hydro,hydro,hydro
hydnd,hydro,hydro,hydro
hydnpnd,hydro,hydro,hydro
hydsnd,hydro,hydro,hydro
hydud,hydro,hydro,hydro
hydund,hydro,hydro,hydro
lfill-gas,lfill-gas,other,other
nuclear,nuclear,nuclear,nuclear
nuclear-smr,nuclear,nuclear,nuclear
o-g-s,o-g-s,o-g-s,other
pumped-hydro,pumped-hydro,pumped-hydro,storage
smr,smr,h2-prod,h2-prod
smr_ccs,smr-ccs,h2-prod,h2-prod
upv,upv,upv,solar
wind-ofs,wind-ofs,wind-ofs,wind
wind-ons,wind-ons,wind-ons,wind
